Year,Matchday,T1,T2,FTG_T1,FTG_T2,FR,HTG_T1,HTG_T2,HTR,G_0_15_T1,G_16_30_T1,G_31_HT_T1,G_46_60_T1,G_61_75_T1,G_76_FT_T1,G_0_15_T2,G_16_30_T2,G_31_HT_T2,G_46_60_T2,G_61_75_T2,G_76_FT_T2,Form_T1,Form_T2,Coach_T1,Coach_T2,BP_T1,BP_T2,PA_T1,PA_T2,PA%_T1,PA%_T2,SonT_T1,SonT_T2,SonT%_T1,SonT%_T2,Sav_T1,Sav_T2,Sav%_T1,Sav%_T2,Fls_T1,Fls_T2,Crn_T1,Crn_T2,Crs_T1,Crs_T2,Tch_T1,Tch_T2,Tck_T1,Tck_T2,Int_T1,Int_T2,Arl_T1,Arl_T2,Clr_T1,Clr_T2,Off_T1,Off_T2,GK_T1,GK_T2,Thr_T1,Thr_T2,LB_T1,LB_T2,YC_T1,2YC_T1,RC_T1,YC_T2,2YC_T2,RC_T2,Std,Ref,Ass1,Ass2,4thRef
2020,1,Fortaleza,Atlético Paranaense,0,2,A,0,2,A,0,0,0,0,0,0,0,1,1,0,0,0,4-2-3-1,4-3-3,Rogério Ceni,Dorival Júnior,43%,57%,291/343,422/471,85%,90%,3/10,5/13,30%,38%,3/5,3/3,60%,100%,12,7,3,4,16,8,455,590,7,8,9,5,8,9,6,13,1,1,6,8,13,16,55,55,3,0,1,2,0,0,Estádio Castelão,Braulio da Silva Machado,Kleber Lucio Gil,Eder Alexandre,Luis César De Oliveira Magalhães
2020,1,Coritiba,Internacional,0,1,A,0,0,D,0,0,0,0,0,0,0,0,0,0,1,0,4-2-3-1,4-2-3-1,Eduardo Barroca,Eduardo Coudet,36%,64%,137/189,270/329,72%,82%,0/1,4/8,0%,50%,3/4,0/0,75%,%,5,13,2,6,7,27,297,452,7,9,12,6,13,14,15,6,3,2,7,4,12,17,30,41,3,0,0,4,0,0,Estádio Major Antônio Couto Pereira,Bruno Arleu de Araujo,Thiago Henrique Neto Correa Farinha,Daniel do Espirito Santo Parro,Leonardo Sígari Zanon
2020,1,Sport Recife,Ceará,3,2,H,3,1,H,0,1,2,0,0,0,0,0,1,1,0,0,4-2-3-1,4-2-3-1,Daniel Paulista,Guto Ferreira,32%,68%,23/33,60/69,70%,87%,3/4,2/2,75%,100%,0/2,0/3,0%,0%,1,3,0,1,1,3,54,91,2,1,1,1,2,1,2,0,1,0,1,0,2,6,5,7,3,0,0,3,0,0,Estádio Adelmar da Costa Carvalho,Edina Alves Batista,Danilo Manis,Neuza Inês Back,Luiz Claudio Sobral
2020,1,Flamengo,Atlético Mineiro,0,1,A,0,1,A,0,0,0,0,0,0,0,1,0,0,0,0,4-2-3-1,3-5-2,Domènec Torrent,Jorge Sampaoli,63%,37%,425/527,226/317,81%,71%,2/17,4/10,12%,40%,4/4,2/2,100%,100%,12,24,9,2,19,6,720,486,16,16,3,15,20,5,7,24,2,3,4,12,27,12,58,65,3,0,0,2,0,0,Estadio Jornalista Mário Filho,Raphael Claus,Daniel Paulo Ziolli,Anderson Jose De Moraes Coelho,Rafael Martins de Sá
2020,1,Santos,Bragantino,1,1,D,0,0,D,0,0,0,0,1,0,0,0,0,0,0,1,4-3-3,4-2-3-1,Cuca,Felipe Conceição,54%,46%,362/444,303/375,82%,81%,4/10,6/18,40%,33%,5/6,3/4,83%,75%,10,19,4,2,20,19,625,562,18,17,14,14,12,15,17,14,4,2,12,8,17,19,58,50,0,0,0,1,0,0,Estádio Urbano Caldeira,Ricardo Marques Ribeiro,Felipe Alan Costa de Oliveira,Ricardo Junio de Souza,Adriano De Assis Miranda
2020,1,Grêmio,Fluminense,1,0,H,1,0,H,0,0,1,0,0,0,0,0,0,0,0,0,4-2-3-1,4-3-3,Renato Gaúcho,Odair Hellmann,52%,48%,395/486,363/444,81%,82%,4/15,4/10,27%,40%,4/4,3/4,100%,75%,24,16,6,3,18,15,680,654,14,15,16,23,25,17,18,24,2,1,6,7,28,16,50,55,2,0,0,3,0,0,Arena do Grêmio,Wilton Sampaio,Fabricio Vilarinho Da Silva,Bruno Raphael Pires,Anderson da Silveira Farias
2020,1,Botafogo (RJ),Bahia,1,2,A,0,1,A,0,0,0,0,0,1,0,0,1,0,0,1,RJ,4-4-2,Paulo Autuori,Mano Menezes,62%,39%,434/505,231/319,86%,72%,2/15,4/12,13%,33%,2/4,1/2,50%,50%,18,14,8,5,24,12,690,496,14,19,8,6,24,25,15,21,0,1,10,11,17,17,54,49,2,0,1,3,0,0,Estádio Nilton Santos,Savio Pereira,Daniel Henrique da Silva Andrade,Jose Reinaldo do Nascimento Júnior,João Ennio Sobral
2020,1,Corinthians,Atlético Goianiense,0,0,D,0,0,D,0,0,0,0,0,0,0,0,0,0,0,0,4-4-2,4-2-3-1,Dyego Rocha Coelho,Vágner Mancini,53%,47%,383/457,320/397,84%,81%,4/12,6/17,33%,35%,5/6,4/4,83%,100%,18,12,4,7,21,26,641,576,11,13,10,12,14,16,21,17,4,2,10,9,23,19,53,60,2,0,0,0,0,0,Arena Corinthians,Paulo Roberto Alves Júnior,Victor Imazu,Rafael Trombeta,Thiago Luis Scarascati
2020,2,Bragantino,Botafogo (RJ),1,1,D,1,0,H,1,0,0,0,0,0,0,0,0,0,1,0,4-2-3-1,RJ,Felipe Conceição,Paulo Autuori,55%,45%,490/553,374/451,89%,83%,8/23,3/9,35%,33%,2/3,7/8,66%,87%,13,8,11,3,29,16,739,623,15,9,17,8,7,11,11,26,1,1,8,13,18,15,40,49,3,0,0,1,0,0,Estádio Nabi Abi Chedid,André Luiz de Freitas Castro,Leone Carvalho,Cristhian Passos Sorence,Lucas Canetto Bellote
2020,2,Atlético Mineiro,Corinthians,3,2,H,0,2,A,0,0,0,2,1,0,1,1,0,0,0,0,3-5-2,4-2-3-1,Jorge Sampaoli,Tiago Nunes,56%,45%,425/516,321/423,82%,76%,13/25,5/7,52%,71%,2/5,10/13,40%,76%,19,11,8,4,30,11,716,617,17,10,16,17,14,15,7,29,3,1,3,11,25,15,52,69,0,0,0,1,0,0,Estádio Raimundo Sampaio,Wagner do Nascimento Magalhaes,Luiz Claudio Regazzone,Thiago Rosa de Oliveira,Ronei Candido Alves
2020,2,Atlético Paranaense,Goiás,2,1,H,1,1,D,0,0,1,0,0,1,0,0,1,0,0,0,4-3-3,4-4-2,Dorival Júnior,Ney Franco,79%,22%,672/728,143/196,92%,73%,4/19,3/13,21%,23%,2/3,2/4,66%,50%,16,18,3,3,16,9,906,371,10,21,2,2,15,17,9,21,1,1,10,14,22,20,78,48,3,0,0,3,0,0,Estádio Joaquim Américo Guimarães,Diego Pombo Lopez,Alessandro Álvaro Rocha de Matos,Jucimar dos Santos Dias,Lucas Paulo Torezin
2020,2,Bahia,Coritiba,1,0,H,1,0,H,0,0,1,0,0,0,0,0,0,0,0,0,4-4-2&#9670;,4-2-3-1,Roger Machado,Eduardo Barroca,46%,54%,338/418,413/485,81%,85%,5/12,3/14,42%,21%,3/3,4/5,100%,80%,16,18,3,8,12,27,587,664,19,14,6,6,14,17,19,3,1,5,8,8,17,13,56,61,0,0,0,5,0,0,Estádio Governador Roberto Santos,Flavio Rodrigues De Souza,Daniel Luis Marques,Evandro de Melo Lima,Emerson Ricardo de Almeida Andrade
2020,2,Atlético Goianiense,Flamengo,3,0,H,2,0,H,1,0,1,0,1,0,0,0,0,0,0,0,4-2-3-1,4-2-3-1,Vágner Mancini,Domènec Torrent,35%,65%,207/282,488/550,73%,89%,7/13,3/8,54%,38%,3/3,4/7,100%,57%,15,19,11,5,24,23,464,738,11,16,15,11,13,12,19,16,2,1,7,6,16,23,52,32,1,0,0,1,0,1,Estádio Olímpico Pedro Ludovico Teixeira,Luiz Flávio de Oliveira,Marcelo Van Gasse,Miguel Cataneo Ribeiro Da Costa,Anderson Ribeiro Gonçalves
2020,2,Fluminense,Palmeiras,1,1,D,1,1,D,0,0,1,0,0,0,1,0,0,0,0,0,4-3-3,4-2-3-1,Odair Hellmann,Vanderlei Luxemburgo,52%,48%,357/429,326/397,83%,82%,1/10,1/9,10%,11%,0/1,0/1,0%,0%,20,31,3,3,12,13,626,569,9,22,7,12,12,18,15,9,3,0,10,7,17,15,54,49,3,0,0,3,0,0,Estadio Jornalista Mário Filho,Rafael Traci,Alex dos Santos,Henrique Neu Ribeiro,Rafael Martins de Sá
2020,2,Ceará,Grêmio,1,1,D,1,0,H,0,0,1,0,0,0,0,0,0,0,1,0,4-2-3-1,4-2-3-1,Guto Ferreira,Renato Gaúcho,42%,58%,341/420,498/574,81%,87%,5/11,8/14,45%,57%,7/8,4/5,87%,80%,17,7,1,7,13,19,605,767,19,15,12,15,22,15,17,9,1,0,5,6,25,24,56,47,3,0,0,1,0,0,Estádio Castelão,Caio Max Augusto Vieira,Eduardo Goncalves da Cruz,Helcio Araujo,Antônio Magno Lima Cordeiro 
2020,2,São Paulo,Fortaleza,1,0,H,1,0,H,0,0,1,0,0,0,0,0,0,0,0,0,4-2-3-1,4-2-3-1,Fernando Diniz,Rogério Ceni,52%,48%,415/475,378/438,87%,86%,3/13,3/12,23%,25%,3/3,2/3,100%,66%,16,18,5,7,16,14,629,599,12,8,7,9,6,17,18,14,4,3,7,8,16,17,58,57,1,0,0,2,0,0,Estádio do Morumbi,Leandro Pedro Vuaden,José Eduardo Calza,Jorge Eduardo Bernardi,Ilbert Estevam Da Silva
2020,2,Internacional,Santos,2,0,H,0,0,D,0,0,0,1,0,1,0,0,0,0,0,0,4-4-2&#9670;,3-5-2,Eduardo Coudet,Cuca,58%,42%,433/515,301/377,84%,80%,7/25,1/6,28%,17%,1/1,5/7,100%,71%,28,14,9,4,34,10,714,599,21,11,16,10,13,19,4,29,2,2,6,13,15,17,57,45,2,0,0,3,0,0,Estádio José Pinheiro Borba,Marcelo de Lima Henrique,Rodrigo Figueiredo Henrique Correa,Carlos Henrique Alves de Lima Filho,Lucas Guimarães Rechatiko Horn
2020,2,Vasco da Gama,Sport Recife,2,0,H,2,0,H,1,0,1,0,0,0,0,0,0,0,0,0,4-1-4-1,4-2-3-1,Ramon Menezes,Daniel Paulista,46%,54%,300/363,350/416,83%,84%,6/9,1/13,67%,8%,1/1,4/6,100%,66%,29,17,5,8,9,26,549,617,11,15,11,13,14,10,36,15,1,4,6,3,16,26,46,37,2,0,0,3,0,1,Estádio Club de Regatas Vasco da Gama,Rodolpho Toski Marques,Bruno Boschilia,Sidmar dos Santos Meurer,Daniel Victor Costa Silva
2020,3,Grêmio,Corinthians,0,0,D,0,0,D,0,0,0,0,0,0,0,0,0,0,0,0,4-2-3-1,4-2-3-1,Renato Gaúcho,Tiago Nunes,47%,53%,423/485,503/571,87%,88%,8/24,2/5,33%,40%,2/2,7/8,100%,87%,16,14,7,5,36,12,705,767,13,26,9,14,13,8,6,21,0,0,7,11,20,10,39,48,2,0,0,3,0,0,Arena do Grêmio,Bruno Arleu de Araujo,Michael Correia,Thiago Henrique Neto Correa Farinha,Jonathan Benkenstein Pinheiro
2020,3,Coritiba,Flamengo,0,1,A,0,1,A,0,0,0,0,0,0,0,1,0,0,0,0,4-4-2,4-2-3-1,Eduardo Barroca,Domènec Torrent,33%,67%,189/252,460/519,75%,89%,3/8,7/18,38%,39%,6/7,3/3,85%,100%,25,16,4,5,13,18,417,690,12,15,7,11,6,12,16,10,2,1,4,6,27,13,50,58,5,1,0,3,0,0,Estádio Major Antônio Couto Pereira,Rodrigo D'Alonso Ferreira,Kleber Lucio Gil,Helton Nunes,Cristian Eduardo Gorski da Luz
2020,3,Palmeiras,Goiás,1,1,D,1,1,D,0,1,0,0,0,0,0,0,1,0,0,0,4-2-3-1,4-3-3,Vanderlei Luxemburgo,Ney Franco,67%,33%,583/670,258/342,87%,75%,3/12,5/10,25%,50%,4/5,2/3,80%,66%,11,16,6,2,26,5,881,520,23,17,18,15,19,13,7,28,0,0,6,15,21,17,46,74,1,0,0,3,0,0,Allianz Parque,Paulo Roberto Alves Júnior,Victor Imazu,Rafael Trombeta,Rafael Gomes Felix da Silva
2020,3,Atlético Mineiro,Ceará,2,0,H,0,0,D,0,0,0,0,1,1,0,0,0,0,0,0,4-2-3-1,4-2-3-1,Jorge Sampaoli,Guto Ferreira,61%,39%,392/474,232/302,83%,77%,6/11,1/13,55%,8%,1/1,3/6,100%,50%,14,15,4,0,21,8,631,464,13,17,4,11,12,13,9,21,2,1,11,12,22,15,65,70,2,0,0,4,0,0,Estádio Raimundo Sampaio,Savio Pereira,Daniel Henrique da Silva Andrade,Jose Reinaldo do Nascimento Júnior,Antonio Marcio Teixeira da Silva
2020,3,Bahia,Bragantino,2,1,H,1,0,H,0,1,0,0,0,1,0,0,0,0,0,1,4-2-3-1,4-1-4-1,Roger Machado,Felipe Conceição,42%,58%,281/376,413/502,75%,82%,4/10,3/16,40%,19%,2/3,2/4,66%,50%,16,16,3,7,8,24,576,693,15,15,19,15,16,17,32,4,2,1,9,5,15,22,53,50,1,0,0,1,0,0,Estádio Governador Roberto Santos,Felipe Fernandes de Lima,Guilherme Dias Camilo,Marcus Vinícius Gomes,Joedson de Jesus Oliveira
2020,3,Vasco da Gama,São Paulo,2,1,H,0,0,D,0,0,0,0,2,0,0,0,0,0,0,1,4-2-3-1,4-2-3-1,Ramon Menezes,Fernando Diniz,41%,60%,312/380,479/553,82%,87%,3/8,5/11,38%,45%,4/5,1/3,80%,33%,16,15,3,4,8,21,552,717,18,13,19,5,11,12,25,7,1,1,6,7,19,25,62,40,2,0,0,5,0,0,Estádio Club de Regatas Vasco da Gama,Wilton Sampaio,Fabricio Vilarinho Da Silva,Bruno Raphael Pires,Felipe da Silva Gonçalves
2020,3,Fluminense,Internacional,2,1,H,1,1,D,0,0,1,0,0,1,0,1,0,0,0,0,4-3-3,4-4-2&#9670;,Odair Hellmann,Eduardo Coudet,44%,57%,259/339,339/434,76%,78%,5/10,3/9,50%,33%,1/3,3/5,33%,60%,13,24,1,4,9,16,550,611,18,27,13,6,16,20,14,5,1,1,5,4,24,23,48,66,2,0,0,2,0,0,Estadio Jornalista Mário Filho,Raphael Claus,Danilo Manis,Fabrini Bevilaqua Costa,Rejane Caetano da Silva
2020,3,Atlético Goianiense,Sport Recife,1,1,D,1,0,H,1,0,0,0,0,0,0,0,0,0,0,1,4-2-3-1,4-3-3,Vágner Mancini,Daniel Paulista,32%,68%,156/234,418/504,67%,83%,4/10,4/15,40%,27%,3/4,3/4,75%,75%,13,15,4,9,15,34,417,682,10,7,18,10,12,20,34,11,0,2,14,6,14,30,52,41,1,1,0,2,0,0,Estádio Olímpico Pedro Ludovico Teixeira,Grazianni Maciel Rocha,Luiz Claudio Regazzone,Lilian da Silva Fernandes Bruno,Rubens Paulo dos Santos
2020,3,Fortaleza,Botafogo (RJ),0,0,D,0,0,D,0,0,0,0,0,0,0,0,0,0,0,0,4-2-3-1,RJ,Rogério Ceni,Paulo Autuori,58%,42%,509/561,343/394,91%,87%,1/12,6/15,8%,40%,6/6,1/1,100%,100%,9,8,4,7,17,20,709,539,10,10,13,9,14,14,12,16,2,1,10,10,14,11,31,38,2,0,0,1,0,0,Estádio Castelão,Marielson Alves Silva,Alessandro Álvaro Rocha de Matos,Elicarlos Franco de Oliveira,Luis César De Oliveira Magalhães
2020,3,Santos,Atlético Paranaense,3,1,H,2,0,H,0,1,1,0,0,1,0,0,0,0,0,1,4-3-3,4-3-3,Cuca,Dorival Júnior,33%,67%,225/292,524/587,77%,89%,6/11,2/12,55%,17%,1/2,3/6,50%,50%,9,22,2,6,12,28,477,769,17,12,13,8,8,12,28,13,0,0,11,7,21,27,55,61,1,0,0,1,0,0,Estádio Urbano Caldeira,Anderson Daronco,Rafael da Silva Alves,Michael Stanislau,Thiago Luis Scarascati
2020,4,Flamengo,Grêmio,1,1,D,0,1,A,0,0,0,0,0,1,0,0,1,0,0,0,4-2-3-1,4-3-3,Domènec Torrent,Renato Gaúcho,60%,40%,522/595,311/388,88%,80%,2/8,2/10,25%,20%,1/2,1/2,50%,50%,17,20,1,2,11,7,755,531,12,15,18,11,13,8,4,10,1,3,7,8,20,14,49,52,3,0,0,3,0,0,Estadio Jornalista Mário Filho,Rafael Traci,Bruno Boschilia,Alex dos Santos,Philip Georg Bennett
2020,4,Bragantino,Fluminense,2,1,H,1,1,D,1,0,0,0,0,1,1,0,0,0,0,0,4-3-3,4-2-3-1,Felipe Conceição,Odair Hellmann,52%,48%,359/438,322/402,82%,80%,3/13,4/9,23%,44%,3/4,1/3,75%,33%,19,14,6,4,24,19,645,629,19,15,16,7,18,10,12,20,2,0,9,7,25,33,50,38,5,0,0,5,0,0,Estádio Nabi Abi Chedid,Jean Pierre Goncalves Lima,Leirson Peng Martins,Lúcio Beiersdorf Flor,Adriano De Assis Miranda
2020,4,Atlético Paranaense,Palmeiras,0,1,A,0,0,D,0,0,0,0,0,0,0,0,0,0,0,1,4-3-3,4-2-3-1,Dorival Júnior,Vanderlei Luxemburgo,56%,44%,361/452,267/341,80%,78%,0/6,3/10,0%,30%,2/3,0/0,66%,%,20,19,5,7,18,23,633,534,14,18,5,4,18,14,16,19,0,2,6,8,33,27,83,65,5,0,0,0,0,0,Estádio Joaquim Américo Guimarães,Caio Max Augusto Vieira,Jean Marcio dos Santos,Vinícius Melo de Lima,Murilo Ugolini Klein
2020,4,Internacional,Atlético Goianiense,3,0,H,0,0,D,0,0,0,1,1,1,0,0,0,0,0,0,4-3-3,4-3-3,Eduardo Coudet,Vágner Mancini,57%,43%,370/442,245/334,84%,73%,5/11,1/7,45%,14%,1/1,2/5,100%,40%,19,17,4,3,20,15,609,484,8,14,11,18,12,17,10,12,1,2,8,8,24,21,70,46,3,0,1,2,0,0,Estádio José Pinheiro Borba,Wagner Reway,Oberto da Silva Santos,Kildenn Tadeu Morais de Lucena,Lucas Guimarães Rechatiko Horn
2020,4,Goiás,Fortaleza,1,3,A,0,1,A,0,0,0,0,0,1,1,0,0,1,1,0,4-3-3,4-2-3-1,Ney Franco,Rogério Ceni,47%,53%,263/331,300/381,79%,79%,4/13,3/13,31%,23%,0/3,3/4,0%,75%,16,15,2,6,14,11,509,554,24,21,13,11,16,11,12,15,3,2,5,9,19,22,57,64,4,0,0,2,0,0,Estádio de Hailé Pinheiro,Dyorgines José Padovani Andrade,Fabiano Da Silva Ramires,Katiuscia Mayer Berger Mendonça,Osimar Moreira da Silva Júnior
2020,4,Corinthians,Coritiba,3,1,H,1,1,D,0,0,1,1,0,1,0,0,1,0,0,0,4-2-3-1,4-2-3-1,Tiago Nunes,Eduardo Barroca,63%,37%,534/583,293/354,92%,83%,13/23,4/9,57%,44%,3/4,9/13,75%,69%,15,7,10,0,32,8,758,529,15,8,17,5,20,6,6,20,0,3,8,16,13,26,42,50,2,0,0,1,0,1,Arena Corinthians,Braulio da Silva Machado,Henrique Neu Ribeiro,Eder Alexandre,Ilbert Estevam Da Silva
2020,4,Botafogo (RJ),Atlético Mineiro,2,1,H,1,0,H,0,1,0,0,0,1,0,0,0,0,0,1,RJ,4-2-3-1,Paulo Autuori,Jorge Sampaoli,26%,74%,132/209,530/608,63%,87%,5/10,9/31,50%,29%,8/9,3/5,88%,60%,9,10,7,16,16,33,411,817,12,18,16,9,21,18,36,14,1,2,19,5,8,22,75,31,2,0,0,0,0,0,Estádio Nilton Santos,Flavio Rodrigues De Souza,Neuza Inês Back,Alex Ang Ribeiro,João Ennio Sobral
2020,4,Sport Recife,Santos,0,1,A,0,0,D,0,0,0,0,0,0,0,0,0,0,0,1,4-2-3-1,4-3-3,Daniel Paulista,Cuca,41%,59%,268/348,438/515,77%,85%,5/11,5/16,45%,31%,4/5,5/5,80%,100%,23,17,4,5,21,15,503,700,8,18,7,9,14,10,9,15,1,1,12,6,16,16,45,68,4,0,0,2,0,0,Estádio Adelmar da Costa Carvalho,Jose Mendonca da Silva Junior,Ivan Carlos Bohn,Victor Imazu,César Pereira Leite
2020,4,São Paulo,Bahia,1,1,D,0,1,A,0,0,0,0,0,1,0,1,0,0,0,0,4-2-3-1,4-2-3-1,Fernando Diniz,Roger Machado,68%,32%,561/618,203/299,91%,68%,5/24,4/8,21%,50%,3/4,4/5,75%,80%,14,16,5,6,37,8,816,451,13,12,5,8,19,19,8,21,4,1,8,17,24,16,34,64,2,0,0,2,0,0,Estádio do Morumbi,Rodrigo Carvalhaes de Miranda,Rodrigo Figueiredo Henrique Correa,Daniel do Espirito Santo Parro,Adriano De Assis Miranda
2020,4,Ceará,Vasco da Gama,0,3,A,0,0,D,0,0,0,0,0,0,0,0,0,0,1,2,4-1-4-1,4-4-2,Guto Ferreira,Ramon Menezes,58%,42%,412/480,294/362,86%,81%,2/22,4/5,9%,80%,1/4,2/2,25%,100%,18,14,13,2,40,8,680,550,18,18,14,8,15,14,11,29,1,2,3,12,15,15,50,46,3,0,0,3,0,0,Estádio Castelão,Thiago Duarte Peixoto,Marcelo Van Gasse,Daniel Paulo Ziolli,Alexandre de Souza Peixoto
2020,5,Atlético Paranaense,Fluminense,0,1,A,0,1,A,0,0,0,0,0,0,0,0,1,0,0,0,4-3-3,4-2-3-1,Dorival Júnior,Odair Hellmann,65%,35%,527/607,241/327,87%,74%,5/14,2/9,36%,22%,2/2,5/5,100%,100%,21,12,7,2,37,11,818,532,14,16,14,14,19,14,9,24,1,2,5,10,23,22,77,44,4,0,0,3,0,0,Estádio Joaquim Américo Guimarães,Daniel Nobre Bins,José Eduardo Calza,Jorge Eduardo Bernardi,Robson Babinski
2020,5,Internacional,Atlético Mineiro,1,0,H,1,0,H,1,0,0,0,0,0,0,0,0,0,0,0,4-2-3-1,3-4-1-2,Eduardo Coudet,Jorge Sampaoli,33%,67%,189/306,502/621,62%,81%,3/6,1/11,50%,9%,0/1,2/3,0%,66%,20,21,2,5,9,16,495,820,18,11,12,16,18,24,29,9,3,1,10,3,16,22,85,61,1,0,0,2,0,0,Estádio José Pinheiro Borba,Luiz Flávio de Oliveira,Daniel Luis Marques,Evandro de Melo Lima,Lucas Guimarães Rechatiko Horn
