Year,Matchday,T1,T2,FTG_T1,FTG_T2,FR,HTG_T1,HTG_T2,HTR,BP_T1,BP_T2,PA_T1,PA_T2,PA%_T1,PA%_T2,SonT_T1,SonT_T2,SonT%_T1,SonT%_T2,Sav_T1,Sav_T2,Sav%_T1,Sav%_T2,Fls_T1,Fls_T2,Crn_T1,Crn_T2,Crs_T1,Crs_T2,Tch_T1,Tch_T2,Tck_T1,Tck_T2,Int_T1,Int_T2,Arl_T1,Arl_T2,Clr_T1,Clr_T2,Off_T1,Off_T2,GK_T1,GK_T2,Thr_T1,Thr_T2,LB_T1,LB_T2,YC_T1,YC_T2,RC_T1,RC_T2,Std,Ref
2020,1,Fortaleza ,Atl Paranaense,0,2.0,A,0.0,2.0,A,0.43,0.57,291/343,422/471,0.85,0.9,3/10,5/13,0.3,0.38,3/5,3/3,0.6,1.0,12.0,7.0,3.0,4.0,16.0,8.0,455.0,590.0,7.0,8.0,9.0,5.0,8.0,9.0,6.0,13.0,1.0,1.0,6.0,8.0,13.0,16.0,55.0,55.0,3.0,2.0,1.0,0.0,Estádio Castelão,Braulio da Silva Machado
2020,1,Coritiba ,Internacional,0,1.0,A,0.0,0.0,D,0.36,0.64,137/189,270/329,0.72,0.82,0/1,4/8,0.0,0.5,3/4,0/0,0.75,,5.0,13.0,2.0,6.0,7.0,27.0,297.0,452.0,7.0,9.0,12.0,6.0,13.0,14.0,15.0,6.0,3.0,2.0,7.0,4.0,12.0,17.0,30.0,41.0,3.0,4.0,0.0,0.0,Estádio Major Antônio Couto Pereira,Bruno Arleu de Araujo
2020,1,Sport Recife,Ceará,3,2.0,H,3.0,1.0,H,0.32,0.68,23/33,60/69,0.7,0.87,3/4,2/2,0.75,1.0,0/2,0/3,0.0,0.0,1.0,3.0,0.0,1.0,1.0,3.0,54.0,91.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,6.0,2.0,7.0,3.0,3.0,0.0,0.0,Estádio Adelmar da Costa Carvalho,Edina Alves Batista
2020,1,Botafogo,Bahia,POSTPONED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1,Flamengo ,Atlético Mineiro,0,1.0,A,0.0,1.0,A,0.63,0.37,425/527,226/317,0.81,0.71,2/17,4/10,0.12,0.4,4/4,2/2,1.0,1.0,12.0,24.0,9.0,2.0,19.0,6.0,720.0,486.0,16.0,16.0,3.0,15.0,20.0,5.0,7.0,24.0,2.0,3.0,4.0,12.0,27.0,12.0,58.0,65.0,3.0,2.0,0.0,0.0,Estadio Jornalista Mário Filho,Raphael Claus
2020,1,Corinthians,Atl Goianiense,POSTPONED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1,Santos ,Bragantino,1,1.0,D,0.0,0.0,D,0.54,0.46,362/444,303/375,0.82,0.81,4/10,6/18,0.4,0.33,5/6,3/4,0.83,0.75,10.0,19.0,4.0,2.0,20.0,19.0,625.0,562.0,18.0,17.0,14.0,14.0,12.0,15.0,17.0,14.0,4.0,2.0,12.0,8.0,17.0,19.0,58.0,50.0,0.0,1.0,0.0,0.0,Estádio Urbano Caldeira,Ricardo Marques Ribeiro
2020,1,Goiás,São Paulo,POSTPONED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,1,Grêmio ,Fluminense,1,0.0,H,1.0,0.0,H,0.52,0.48,395/486,363/444,0.81,0.82,4/15,4/10,0.27,0.4,4/4,3/4,1.0,0.75,24.0,16.0,6.0,3.0,18.0,15.0,680.0,654.0,14.0,15.0,16.0,23.0,25.0,17.0,18.0,24.0,2.0,1.0,6.0,7.0,28.0,16.0,50.0,55.0,2.0,3.0,0.0,0.0,Arena do Grêmio,Wilton Sampaio
2020,1,Palmeiras,Vasco,POSTPONED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,2,Bragantino ,Botafogo,1,1.0,D,1.0,0.0,H,0.55,0.45,490/553,374/451,0.89,0.83,8/23,3/9,0.35,0.33,2/3,7/8,0.66,0.87,13.0,8.0,11.0,3.0,29.0,16.0,739.0,623.0,15.0,9.0,17.0,8.0,7.0,11.0,11.0,26.0,1.0,1.0,8.0,13.0,18.0,15.0,40.0,49.0,3.0,1.0,0.0,0.0,Estádio Nabi Abi Chedid,André Luiz de Freitas Castro
2020,2,Atlético Mineiro,Corinthians,3,2.0,H,0.0,2.0,A,0.56,0.45,425/516,321/423,0.82,0.76,13/25,5/7,0.52,0.71,2/5,10/13,0.4,0.76,19.0,11.0,8.0,4.0,30.0,11.0,716.0,617.0,17.0,10.0,16.0,17.0,14.0,15.0,7.0,29.0,3.0,1.0,3.0,11.0,25.0,15.0,52.0,69.0,0.0,1.0,0.0,0.0,Estádio Raimundo Sampaio,Wagner do Nascimento Magalhaes
2020,2,Atl Paranaense,Goiás,2,1.0,H,1.0,1.0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Estádio Joaquim Américo Guimarães,Diego Pombo Lopez
2020,2,Atl Goianiense,Flamengo,3,0.0,H,2.0,0.0,H,0.35,0.65,207/282,488/550,0.73,0.89,7/13,3/8,0.54,0.38,3/3,4/7,1.0,0.57,15.0,19.0,11.0,5.0,24.0,23.0,464.0,738.0,11.0,16.0,15.0,11.0,13.0,12.0,19.0,16.0,2.0,1.0,7.0,6.0,16.0,23.0,52.0,32.0,1.0,1.0,0.0,1.0,Estádio Olímpico Pedro Ludovico Teixeira,Luiz Flávio de Oliveira
2020,2,Bahia,Coritiba,1,0.0,H,1.0,0.0,H,0.46,0.54,338/418,413/485,0.81,0.85,5/12,3/14,0.42,0.21,3/3,4/5,1.0,0.8,16.0,18.0,3.0,8.0,12.0,27.0,587.0,664.0,19.0,14.0,6.0,6.0,14.0,17.0,19.0,3.0,1.0,5.0,8.0,8.0,17.0,13.0,56.0,61.0,0.0,5.0,0.0,0.0,Estádio Governador Roberto Santos,Flavio Rodrigues De Souza
2020,2,Fluminense,Palmeiras,1,1.0,D,1.0,1.0,D,0.52,0.48,357/429,326/397,0.83,0.82,1/10,1/9,0.1,0.11,0/1,0/1,0.0,0.0,20.0,31.0,3.0,3.0,12.0,13.0,626.0,569.0,9.0,22.0,7.0,12.0,12.0,18.0,15.0,9.0,3.0,0.0,10.0,7.0,17.0,15.0,54.0,49.0,3.0,3.0,0.0,0.0,Estadio Jornalista Mário Filho,Rafael Traci
2020,2,Ceará,Grêmio ,1,1.0,D,1.0,0.0,H,0.42,0.58,341/420,498/574,0.81,0.87,5/11,8/14,0.45,0.57,7/8,4/5,0.87,0.8,17.0,7.0,1.0,7.0,13.0,19.0,605.0,767.0,19.0,15.0,12.0,15.0,22.0,15.0,17.0,9.0,1.0,0.0,5.0,6.0,25.0,24.0,56.0,47.0,3.0,1.0,0.0,0.0,Estádio Castelão,Caio Max Augusto Vieira
2020,2,São Paulo,Fortaleza,1,0.0,H,1.0,0.0,H,0.52,0.48,415/475,378/438,0.87,0.86,3/13,3/12,0.23,0.25,3/3,2/3,1.0,0.66,16.0,18.0,5.0,7.0,16.0,14.0,629.0,599.0,12.0,8.0,7.0,9.0,6.0,17.0,18.0,14.0,4.0,3.0,7.0,8.0,16.0,17.0,58.0,57.0,1.0,2.0,0.0,0.0,Estádio do Morumbi,Leandro Pedro Vuaden
2020,2,Internacional,Santos,2,0.0,H,0.0,0.0,D,0.58,0.42,433/515,301/377,0.84,0.8,7/25,1/6,0.28,0.17,1/1,5/7,1.0,0.71,28.0,14.0,9.0,4.0,34.0,10.0,714.0,599.0,21.0,11.0,16.0,10.0,13.0,19.0,4.0,29.0,2.0,2.0,6.0,13.0,15.0,17.0,57.0,45.0,2.0,3.0,0.0,0.0,Estádio José Pinheiro Borba,Marcelo de Lima Henrique
2020,2,Vasco,Sport Recife,2,0.0,H,2.0,0.0,H,0.46,0.54,300/363,350/416,0.83,0.84,6/9,1/13,0.67,0.08,1/1,4/6,1.0,0.66,29.0,17.0,5.0,8.0,9.0,26.0,549.0,617.0,11.0,15.0,11.0,13.0,14.0,10.0,36.0,15.0,1.0,4.0,6.0,3.0,16.0,26.0,46.0,37.0,2.0,3.0,0.0,1.0,Estádio Club de Regatas Vasco da Gama,Rodolpho Toski Marques
2020,3,Grêmio ,Corinthians,0,0.0,D,0.0,0.0,D,0.47,0.53,423/485,503/571,0.87,0.88,8/24,2/5,0.33,0.4,2/2,7/8,1.0,0.87,16.0,14.0,7.0,5.0,36.0,12.0,705.0,767.0,13.0,26.0,9.0,14.0,13.0,8.0,6.0,21.0,0.0,0.0,7.0,11.0,20.0,10.0,39.0,48.0,2.0,3.0,0.0,0.0,Arena do Grêmio,Bruno Arleu de Araujo
2020,3,Coritiba ,Flamengo,0,1.0,A,0.0,1.0,A,0.33,0.67,189/252,460/519,0.75,0.89,3/8,7/18,0.38,0.39,6/7,3/3,0.85,1.0,25.0,16.0,4.0,5.0,13.0,18.0,417.0,690.0,12.0,15.0,7.0,11.0,6.0,12.0,16.0,10.0,2.0,1.0,4.0,6.0,27.0,13.0,50.0,58.0,6.0,3.0,1.0,0.0,Estádio Major Antônio Couto Pereira,Rodrigo D'Alonso Ferreira
2020,3,Palmeiras,Goiás,1,1.0,D,1.0,1.0,D,0.67,0.33,583/670,258/342,0.87,0.75,3/12,5/10,0.25,0.5,4/5,2/3,0.8,0.66,11.0,16.0,6.0,2.0,26.0,5.0,881.0,520.0,23.0,17.0,18.0,15.0,19.0,13.0,7.0,28.0,0.0,0.0,6.0,15.0,21.0,17.0,46.0,74.0,1.0,3.0,0.0,0.0,Allianz Parque,Paulo Roberto Alves Júnior
2020,3,Atlético Mineiro,Ceará,2,0.0,H,0.0,0.0,D,0.61,0.39,392/474,232/302,0.83,0.77,6/11,1/13,0.55,0.08,1/1,3/6,1.0,0.5,14.0,15.0,4.0,0.0,21.0,8.0,631.0,464.0,13.0,17.0,4.0,11.0,12.0,13.0,9.0,21.0,2.0,1.0,11.0,12.0,22.0,15.0,65.0,70.0,2.0,4.0,0.0,0.0,Estádio Raimundo Sampaio,Savio Pereira
2020,3,Bahia,Bragantino,2,1.0,H,1.0,0.0,H,0.42,0.58,281/376,413/502,0.75,0.82,4/10,3/16,0.4,0.19,2/3,2/4,0.66,0.5,16.0,16.0,3.0,7.0,8.0,24.0,576.0,693.0,15.0,15.0,19.0,15.0,16.0,17.0,32.0,4.0,2.0,1.0,9.0,5.0,15.0,22.0,53.0,50.0,1.0,1.0,0.0,0.0,Estádio Governador Roberto Santos,Felipe Fernandes de Lima
2020,3,Vasco,São Paulo,2,1.0,H,0.0,0.0,D,0.41,0.6,312/380,479/553,0.82,0.87,3/8,5/11,0.38,0.45,4/5,1/3,0.8,0.33,16.0,15.0,3.0,4.0,8.0,21.0,552.0,717.0,18.0,13.0,19.0,5.0,11.0,12.0,25.0,7.0,1.0,1.0,6.0,7.0,19.0,25.0,62.0,40.0,2.0,5.0,0.0,0.0,Estádio Club de Regatas Vasco da Gama,Wilton Sampaio
2020,3,Fluminense,Internacional,2,1.0,H,1.0,1.0,D,0.44,0.57,259/339,339/434,0.76,0.78,5/10,3/9,0.5,0.33,1/3,3/5,0.33,0.6,13.0,24.0,1.0,4.0,9.0,16.0,550.0,611.0,18.0,27.0,13.0,6.0,16.0,20.0,14.0,5.0,1.0,1.0,5.0,4.0,24.0,23.0,48.0,66.0,2.0,2.0,0.0,0.0,Estadio Jornalista Mário Filho,Raphael Claus
2020,3,Atl Goianiense,Sport Recife,1,1.0,D,1.0,0.0,H,0.32,0.68,156/234,418/504,0.67,0.83,4/10,4/15,0.4,0.27,3/4,3/4,0.75,0.75,13.0,15.0,4.0,9.0,15.0,34.0,417.0,682.0,10.0,7.0,18.0,10.0,12.0,20.0,34.0,11.0,0.0,2.0,14.0,6.0,14.0,30.0,52.0,41.0,1.0,2.0,1.0,0.0,Estádio Olímpico Pedro Ludovico Teixeira,Grazianni Maciel Rocha
2020,3,Fortaleza ,Botafogo,0,0.0,D,0.0,0.0,D,0.58,0.42,509/561,343/394,0.91,0.87,1/12,6/15,0.08,0.4,6/6,1/1,1.0,1.0,9.0,8.0,4.0,7.0,17.0,20.0,709.0,539.0,10.0,10.0,13.0,9.0,14.0,14.0,12.0,16.0,2.0,1.0,10.0,10.0,14.0,11.0,31.0,38.0,2.0,1.0,0.0,0.0,Estádio Castelão,Marielson Alves Silva
2020,3,Santos ,Atl Paranaense,3,1.0,H,2.0,0.0,H,0.33,0.67,225/292,524/587,0.77,0.89,6/11,2/12,0.55,0.17,1/2,3/6,0.5,0.5,9.0,22.0,2.0,6.0,12.0,28.0,477.0,769.0,17.0,12.0,13.0,8.0,8.0,12.0,28.0,13.0,0.0,0.0,11.0,7.0,21.0,27.0,55.0,61.0,1.0,1.0,0.0,0.0,Estádio Urbano Caldeira,Anderson Daronco
